Title;Price
Хлеб цельнозерновой с отрубями;250
Хлебец «Бородинский», нарез., 400 г_РП;55
Хлебец с пшеничными отрубями_РП;50
Хлебные палочки с шоколадно-арахисовой пастой;99
Хлебушек «Бородинский» формовой_РП;50
Хлебушек «Монастырский» подовый_РП;30
Хлебушек «Сокурский»_РП;50
Хлебушек пшеничный, формовой_РП;32
Хлебцы «БиоЭлемент» с пророщенным нутом;31
Хлебцы «БиоЭлемент» с пророщенными семенами льна;31
Хлебцы «Бородинские»;86
Хлебцы «Бородинские» зерновые;116
Хлебцы «Гречневые» с морской солью;58
Хлебцы «Зерновые»;105
Хлебцы «Льняные»_РП;68
Хлебцы «Рисовые с кунжутом» с морской солью;58
Хлебцы Dr.Korner 7 злаков 100 г;74
Хлебцы Dr.Korner гречневые с витаминами 100 г;89
Хлебцы Dr.Korner злаковый коктейль клюквенный 100 г;89
Хлебцы Dr.Korner злаковый коктейль сырный 100 г;110
Хлебцы Dr.Korner кукурузно-рисовые карамельные 90 г;89
Хлебцы Dr.Korner кукурузно-рисовые с прованс. травами 100 г;109
Хлебцы без добавок;83
Хлебцы гречневые запеченные;34
Хлебцы гречневые запеченные с морковью и луком;45
Хлебцы детские кукурузно-рисовые «Банан-Тыква»;95
Хлебцы из полбы;86
Хлебцы классические зерновые;116
Хлебцы кукурузные;76
Хлебцы кукурузные запеченные, 60 г;32
Хлебцы льняные с томатом и базиликом;86
Хлебцы овощные «Мечта парижанки»;189
Хлебцы овощные «Секрет Клеопатры»;173
Хлебцы протеино-злаковые «Кокосовый крамбл»;124
Хлебцы пшеничные;91
Хлебцы пшеничные с зеленью, 30 г;90
Хлебцы ржано-отрубные;86
Хлебцы ржано-пшеничные (без доб. сахара);136
Хлебцы ржано-пшеничные с семенами;138
Хлебцы ржаные запеченные;28
Хлебцы ржаные с паприкой;84
Хлебцы с аджикой;86
Хлебцы с клетчаткой и луком;86
Хлебцы с луком и семенами льна;95
Хлебцы с прованскими травами;86
Хлебцы с топинамбуром;86
Хлебцы с тыквой и морковью;95
Хлебцы с черносливом и изюмом;86
Хлебцы с чесноком и луком;83
Хлебцы томатные;87
Хлебцы хрустящие с гречкой;78
Чиабатта;94
Чиабатта классическая_РП;98
Чиабатта мини;45
Чиабатта на закваске_РП;75
Чиабатта пшеничная;103
Чиабатта пшеничная, 120 г;49
Чиабатта пшеничная, 200 г;72
Чиабатта пшенично-ржаная, 200 г;67
Чиабатта, 400 гр._РП;111
Чиабатта_РП;70
Чипсы ржаные цельнозерновые;104
Чипсы с гималайской солью, безглютеновые;208
Чипсы с куркумой и гим. солью, безглютеновые;208
Шоссон яблочный;118
Штрудель «Яблочный», веган, 400 г;406
Штрудель вишневый, веган;153
Штрудель яблочный, веган;115
Язычок слоеный с сахаром, 5 шт;170
